Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
10,E,4,E4,31.0,1,ERIVAG,D,29.0
10,E,5,E5,29.0,1,VACVIT,D,26.0
10,E,6,E6,31.0,1,VACVIT,A,28.0
10,E,7,E7,32.0,1,MOSSPP,A,31.0
10,E,8,E8,34.0,1,MOSSPP,D,33.0
10,F,2,F2,35.0,1,MOSSPP,D,33.0
10,F,3,F3,35.0,1,LITTER,D,34.0
10,F,4,F4,35.0,1,LITTER,D,33.0
10,F,5,F5,31.0,1,CARSPP,D,22.0
10,F,6,F6,31.0,1,LITTER,D,30.0
10,F,7,F7,33.0,1,MOSSPP,A,32.0
10,G,3,G3,34.0,1,EMPNIG,D,32.0
10,G,4,G4,34.0,1,VACVIT,D,29.0
10,G,5,G5,33.0,1,LEDPAL,D,29.0
10,G,6,G6,34.0,1,BETNAN,D,28.0
10,B,3,B3,33.0,2,BETNAN,D,22.0
10,B,4,B4,32.0,2,VACVIT,D,28.0
10,B,5,B5,31.0,2,LITTER,D,30.0
10,B,6,B6,34.0,2,MOSSPP,D,33.0
10,B,7,B7,39.0,2,LITTER,D,38.0
10,C,3,C3,28.0,2,MOSSPP,D,27.0
10,C,5,C5,32.0,2,MOSSPP,A,31.0
10,D,2,D2,34.0,2,VACVIT,D,31.0
10,D,5,D5,30.0,2,ERIVAG,D,27.0
10,D,6,D6,30.0,2,LEDPAL,D,27.0
10,D,7,D7,32.0,2,LITTER,D,31.0
10,D,8,D8,35.0,2,MOSSPP,A,34.0
10,E,2,E2,35.0,2,LEDPAL,D,32.0
10,E,3,E3,29.0,2,ERIVAG,D,28.0
10,E,5,E5,29.0,2,ERIVAG,D,28.0
10,E,6,E6,31.0,2,MOSSPP,A,30.0
10,F,5,F5,31.0,2,LITTER,D,30.0
10,G,3,G3,34.0,2,LITTER,D,33.0
10,G,4,G4,34.0,2,LITTER,D,32.0
10,G,5,G5,33.0,2,MOSSPP,A,32.0
10,G,6,G6,34.0,2,LEDPAL,D,31.0
10,B,3,B3,33.0,3,MOSSPP,D,32.0
10,B,4,B4,32.0,3,MOSSPP,D,31.5
10,D,2,D2,34.0,3,MOSSPP,D,33.0
10,D,5,D5,30.0,3,MOSSPP,A,29.0
10,D,6,D6,30.0,3,MOSSPP,A,29.0
10,E,2,E2,35.0,3,ERIVAG,D,34.0
10,G,6,G6,34.0,3,LITTER,D,33.0
